station,datetime,obs_type,obs_value,TMAX_F,datetime_dt,year
EZE00100082,18641225,TMAX,-8.8,16.159999999999997,1864-12-25,1864
AU000005901,18641225,TMAX,-8.8,16.159999999999997,1864-12-25,1864
SZ000006717,18641125,TMAX,-8.8,16.159999999999997,1864-11-25,1864
EZE00100082,18640111,TMAX,-8.7,16.340000000000003,1864-01-11,1864
AU000005901,18640113,TMAX,-8.6,16.52,1864-01-13,1864
GM000004204,18640113,TMAX,-8.6,16.52,1864-01-13,1864
GM000004204,18640116,TMAX,-8.6,16.52,1864-01-16,1864
AU000005901,18640114,TMAX,-8.5,16.7,1864-01-14,1864
AU000005901,18640109,TMAX,-8.5,16.7,1864-01-09,1864
SZ000006717,18640107,TMAX,-8.5,16.7,1864-01-07,1864
GME00125218,18640117,TMAX,-8.5,16.7,1864-01-17,1864
AU000005901,18640118,TMAX,-8.4,16.88,1864-01-18,1864
GM000004204,18641223,TMAX,-8.4,16.88,1864-12-23,1864
AU000005901,18640119,TMAX,-8.4,16.88,1864-01-19,1864
EZE00100082,18640112,TMAX,-8.4,16.88,1864-01-12,1864
GM000004204,18640107,TMAX,-8.3,17.06,1864-01-07,1864
CA006158350,18640107,TMAX,-8.3,17.06,1864-01-07,1864
EZE00100082,18640108,TMAX,-8.3,17.06,1864-01-08,1864
CA006158350,18641208,TMAX,-8.3,17.06,1864-12-08,1864
GME00125218,18640111,TMAX,-8.3,17.06,1864-01-11,1864
AU000005901,18640112,TMAX,-8.3,17.06,1864-01-12,1864
SZ000006717,18640130,TMAX,-8.3,17.06,1864-01-30,1864
GM000004204,18640112,TMAX,-8.3,17.06,1864-01-12,1864
SZ000006717,18640101,TMAX,-8.2,17.240000000000002,1864-01-01,1864
SZ000006717,18640222,TMAX,-8.1,17.42,1864-02-22,1864
GME00125218,18640101,TMAX,-8.1,17.42,1864-01-01,1864
GME00125218,18640118,TMAX,-8.0,17.6,1864-01-18,1864
SZ000006717,18640331,TMAX,-8.0,17.6,1864-03-31,1864
SZ000006717,18640329,TMAX,-8.0,17.6,1864-03-29,1864
EZE00100082,18640110,TMAX,-7.9,17.78,1864-01-10,1864
CA006158350,18640322,TMAX,-7.8,17.96,1864-03-22,1864
GME00125218,18641227,TMAX,-7.8,17.96,1864-12-27,1864
SZ000006717,18641203,TMAX,-7.8,17.96,1864-12-03,1864
SZ000006717,18641217,TMAX,-7.8,17.96,1864-12-17,1864
GME00125218,18641216,TMAX,-7.8,17.96,1864-12-16,1864
GME00125218,18640113,TMAX,-7.8,17.96,1864-01-13,1864
SZ000006717,18641106,TMAX,-7.7,18.14,1864-11-06,1864
SZ000006717,18640115,TMAX,-7.7,18.14,1864-01-15,1864
GME00125218,18640106,TMAX,-7.6,18.32,1864-01-06,1864
SZ000006717,18640106,TMAX,-7.6,18.32,1864-01-06,1864
GME00125218,18641226,TMAX,-7.5,18.5,1864-12-26,1864
AU000005901,18640103,TMAX,-7.5,18.5,1864-01-03,1864
AU000005901,18641223,TMAX,-7.5,18.5,1864-12-23,1864
ITE00100554,18640113,TMAX,-7.5,18.5,1864-01-13,1864
SZ000006717,18641209,TMAX,-7.5,18.5,1864-12-09,1864
SZ000006717,18640221,TMAX,-7.5,18.5,1864-02-21,1864
SZ000006717,18640119,TMAX,-7.4,18.68,1864-01-19,1864
GM000004204,18641225,TMAX,-7.3,18.86,1864-12-25,1864
EZE00100082,18641230,TMAX,-7.3,18.86,1864-12-30,1864
SZ000006717,18640110,TMAX,-7.3,18.86,1864-01-10,1864
GM000004204,18641224,TMAX,-7.3,18.86,1864-12-24,1864
CA006158350,18640321,TMAX,-7.2,19.04,1864-03-21,1864
CA006158350,18640209,TMAX,-7.2,19.04,1864-02-09,1864
CA006158350,18640110,TMAX,-7.2,19.04,1864-01-10,1864
CA006158350,18640320,TMAX,-7.2,19.04,1864-03-20,1864
GME00125218,18640103,TMAX,-7.1,19.22,1864-01-03,1864
GME00125218,18640102,TMAX,-7.1,19.22,1864-01-02,1864
